HTML_field,Database_field,Error
[$*TBOX_ID*$],unique_name,
[$*ORGANISM*$],GBSeq_organism,
[$*PRED_FAMILY*$],predicted_tRNA_family,
[$*ACCESSION_URL*$],accession_url,
[$*ACCESSION_NAME*$],Name,
[$*TBOX_LENGTH*$],tbox_length,
[$*S1_START*$],s1_start,
[$*S1_END*$],s1_end,
[$*SPECIFIER_START*$],s1_loop_start,
[$*SPECIFIER_END*$],s1_loop_end,
[$*SPECIFIER_REGION*$],codon_region,
[$*ANTI-START*$],antiterm_start,
[$*ANTI-END*$],antiterm_end,
[$*ARM*$],discriminator,
[$*CODON*$],codon,
[$*FASTA*$],FASTA_sequence,
[$*FASTA_FULL*$],FASTA_sequence,
[$*STRUCTURE_ANTI*$],folded_antiterm_structure,
[$*STRUCTURE_TERM*$],whole_term_structure,
[$*BEST_TRNA*$],web_trna,No tRNAs found from tRNAScan-SE
[$*BEST_TRNA_DESCRIPTION*$],web_best_trna,-
[$*EVALUE*$],E_value,
[$*SCORE*$],Score,
[$*BIAS*$],Bias,
[$*CM_ACCURACY*$],CM_accuracy,
[$*INFERNO_OUT_SEQ*$],Sequence,
[$*INFERNO_OUT_DOT*$],Structure,
[$*DOT_AT*$],folded_antiterm_structure,
[$*DATA_SOURCE*$],data_source,
[$*DATA_SOURCE_URL*$],data_source_url,
[$*LOCUS_START*$],locus_start,
[$*LOCUS_END*$],locus_end,
[$*LOCUS_VIEW_START*$],locus_view_start,
[$*LOCUS_VIEW_END*$],locus_view_end,
[$*GENOME_ACCESSION*$],accession_name,
[$*DIRECTION_LABEL*$],direction_label,
[$*ANTI_G*$],anti_g_used,
[$*TERM_G*$],new_term_energy,
[$*DDG*$],deltadelta_g,
[$*DS_PROTEIN_DESCRIPTION*$],web_downstream_protein,
[$*DS_PROTEIN_ID*$],web_downstream_protein_id,
[$*S1_START*$],s1_start,
[$*S1_END*$],s1_end,
[$*SP_START*$],codon_start,
[$*SP_END*$],codon_end,
[$*AT_START*$],antiterm_start,
[$*AT_END*$],antiterm_end,
[$*TE_START*$],term_start,
[$*TE_END*$],term_end,
[$*OTHER_STEMS*$],other_stems,
[$*TRIMMED_SEQUENCE*$],Trimmed_sequence,
[$*TRIMMED_STRUCTURE_ANTI*$],Trimmed_antiterm_struct,
[$*TRIMMED_STRUCTURE_TERM*$],Trimmed_term_struct,
[$*WEB_AT_IMAGE*$],web_at_image,
[$*WEB_TE_IMAGE*$],web_te_image,
[$*WEB_AT_STRUCT*$],web_at_struct,
[$*WEB_TE_STRUCT*$],web_te_struct,
